标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
地铁口附近 丽阳晶舍 精装套一 家电齐全 环境舒适 随时看房,1000,48平方米,精装修,普通住宅,丽阳晶舍>龙泉驿>商业片区,丽阳晶舍,龙泉驿,商业片区
精装套一 公兴上班 公兴大市场 通瑞月光湖 牡华路三段附近,850,48平方米,精装修,普通住宅,藕塘新居>双流>公兴,藕塘新居,双流,公兴
0中介.费可月付精装套一随时看房家具家电齐全,1280,55平方米,精装修,普通住宅,龙城高新天地>郫都>犀浦,龙城高新天地,郫都,犀浦
紧邻春熙路IFS银石广场附近家电齐全随时看房拎包入住押一付一,700,36平方米,简单装修,公寓,东大街下东大街段8号院>锦江>春熙路,东大街下东大街段8号院,锦江,春熙路
可短租！可短租！师大现代花园 房东急租 精装套一 家具家电齐,1300,45平方米,精装修,普通住宅,师大现代花园(商住楼)>龙泉驿>大面,师大现代花园(商住楼),龙泉驿,大面
无中介可月付 天府三街五街软件园世纪城 一号线美年广场拎包住,1250,120平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
盛世嘉苑 龙祥佳苑 中和市场 中和职中 花卉市场 三圣乡,1400,50平方米,精装修,普通住宅,锦水花乡>锦江>琉璃厂,锦水花乡,锦江,琉璃厂
牛王庙牛市口地铁口附近近春熙路小区房源独门独户家电齐全随时看,700,24平方米,简单装修,公寓,钢管厂一福利区>锦江>春熙路,钢管厂一福利区,锦江,春熙路
红湖公园城 套一秒杀 拎包入住 可季度付,1000,50.6平方米,简单装修,普通住宅,红湖公园城>新都>大丰,红湖公园城,新都,大丰
实拍图！真实在租 高新区 金融城 交子大道 正规套一 水电气,3000,50平方米,精装修,普通住宅,布鲁明顿广场>高新区>金融城,布鲁明顿广场,高新区,金融城
索尔龙舟 标间出租 七号线 狮子山 房间干净整洁,1200,35平方米,精装修,普通住宅,索尔龙舟>锦江>川师,索尔龙舟,锦江,川师
高新区天祥广场一号线世纪城站中环岛香悦城精装套一 拎包入住,1800,43平方米,精装修,普通住宅,香月湖香悦城>高新区>世纪城,香月湖香悦城,高新区,世纪城
无中介可月付建设路万象城东郊记忆龙湖滨江二仙桥地铁口理工大学,2080,68平方米,精装修,普通住宅,东城映象B区>成华>杉板桥,东城映象B区,成华,杉板桥
保利锦江里 1室1厅1卫 2500元月 电梯房 精装修,2500,51平方米,精装修,普通住宅,保利锦江里>天府新区>华阳,保利锦江里,天府新区,华阳
整租高新区天府三街保利星座精装套一世豪伊藤地铁近软件园,1800,50平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
可短租 可月付 二江寺地铁口 独立厨卫 可做饭 交通便利,1199,35平方米,精装修,普通住宅,格林城>双流>华府,格林城,双流,华府
天府广场骡马市地铁口整租套一家具家电齐全随时看房拎包入住急租,700,30平方米,简单装修,公寓,光明巷12号院>青羊>草市街,光明巷12号院,青羊,草市街
好房出租 标准套一出租 家电家具齐全随时看房,1100,57平方米,简单装修,公寓,尚港领地(商住楼)>双流>文星,尚港领地(商住楼),双流,文星
恒大都汇华庭 套一带衣帽间 晶融汇 春熙路 太古里 高端住宅,5000,89平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
现代城 精装套一 装修巴适 价格实惠 近骨科医院 锦里西路,1950,50.8平方米,精装修,普通住宅,成都现代城>青羊>人民公园,成都现代城,青羊,人民公园
天府五街 华府大道 美年广场 嘉年华青年城标间 家具齐全,1300,40平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
可短租 押一付一 华府大道地铁口 环球中心 银泰城 天府五街,1250,40平方米,精装修,普通住宅,香璟台西苑>高新区>中和,香璟台西苑,高新区,中和
二环边李家沱地铁口精装修酒店公寓 全齐全配，,1800,27平方米,精装修,公寓,永立龙寓>成华>八里小区,永立龙寓,成华,八里小区
整租高新区天府三街保利星座精装套一世豪伊藤地铁近软件园,2000,70平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
光荣小区漂亮大标间家具家电带空调租 1500元月,1500,50平方米,精装修,普通住宅,加州壹号>金牛>沙湾,加州壹号,金牛,沙湾
天府三街 五号线地铁口 软件园 保利星座 大源印象 精装急租,1700,50平方米,精装修,公寓,保利星座>高新区>大源,保利星座,高新区,大源
红湖公园城 1室1厅1卫 1000元月 精装修 电梯房,1000,50平方米,精装修,普通住宅,红湖公园城>新都>大丰,红湖公园城,新都,大丰
天府三街复地雍湖湾 大有智慧 锦城南府精装套一水电气三通地铁,2500,65平方米,精装修,普通住宅,锦城南府>高新区>大源,锦城南府,高新区,大源
高新区 南延线 家乐福 一号线华阳地铁口 精装标间 拎包入住,1800,47平方米,精装修,公寓,金地天府城(商住楼)>高新区>南延线,金地天府城(商住楼),高新区,南延线
龙平路地铁口 丽阳晶舍 精装套一 家电齐全 环境舒适拎包入住,1200,48平方米,精装修,普通住宅,丽阳晶舍>龙泉驿>商业片区,丽阳晶舍,龙泉驿,商业片区
超值有匙即睇！超龙湖上城 1800元 1室1厅1卫 精装修,1800,38平方米,精装修,普通住宅,龙湖上城>金牛>人民北路,龙湖上城,金牛,人民北路
金融城 枫丹国际 布鲁明顿广场现代风精装套一,3000,60平方米,精装修,普通住宅,布鲁明顿广场>高新区>金融城,布鲁明顿广场,高新区,金融城
秒杀地铁口套一 包物业费 住家装修 停车便宜 随时看房,1200,40平方米,精装修,普通住宅,怡和新城C区>龙泉驿>总站片区,怡和新城C区,龙泉驿,总站片区
手慢无！套一真实有效，随时看房 拎包入住楼下就是菜市公交,1000,50.6平方米,简单装修,普通住宅,红湖公园城>新都>大丰,红湖公园城,新都,大丰
天府大道 天府三街 天府五街软件园 翡翠半岛 拎包入住,1300,32平方米,豪华装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
融创Nano公馆 1室1厅1卫 2200元月 精装修,2200,40平方米,精装修,普通住宅,融创Nano公馆>天府新区>华阳,融创Nano公馆,天府新区,华阳
精装大套一 联合广场 2号线塔子山 华宇广场 邮电学院 川师,2280,60平方米,精装修,普通住宅,花果新居一期>锦江>川师,花果新居一期,锦江,川师
春熙路ifs地铁口太古里恒大都汇华庭轻奢好房另时代豪庭晶融汇,4200,75平方米,豪华装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
紧邻骡马市天府广场地铁口近春熙路小区房源家电齐全独门独户整租,700,34平方米,简单装修,公寓,东华门街8号院>青羊>天府广场,东华门街8号院,青羊,天府广场
金融城 软件园 实图 天府五街地铁口 世纪城 环球中心 甩租,1600,50平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
天府三街地铁口 香年广场精装标间 新希望国际 领地环球ocg,2500,50平方米,精装修,普通住宅,花样年香年广场(商住楼)>高新区>大源,花样年香年广场(商住楼),高新区,大源
无中介 春熙路 东门大桥 太古里 精装修  拎包入住 近地铁,1500,15平方米,精装修,普通住宅,盐市口公寓>锦江>春熙路,盐市口公寓,锦江,春熙路
天府大道 青年城精装公寓套一 手慢无地铁一号线 软件园附近,2200,35平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
甩租！花牌坊，西南交大，懋园国际 1200元月 配套齐全,1200,35平方米,精装修,普通住宅,懋园国际商住城>金牛>抚琴小区,懋园国际商住城,金牛,抚琴小区
可月付 无中介 整租百草路地铁口  晨风社区  精装小套一,800,30平方米,精装修,普通住宅,晨风社区>高新西区>百草路,晨风社区,高新西区,百草路
无中介 川师 狮子山 塔子山 精装修 拎包入住,1200,15平方米,精装修,普通住宅,华兴新居>锦江>川师,华兴新居,锦江,川师
牛王庙九眼桥天紫界精装套一，干净整洁带生活阳台家电家具齐全。,2500,40平方米,精装修,普通住宅,天紫界小区>锦江>九眼桥,天紫界小区,锦江,九眼桥
哇！过年换房想要套一的来了，小清新带大阳台牛逼好房近青羊万达,1500,40平方米,精装修,普通住宅,元益花园>青羊>外光华,元益花园,青羊,外光华
主题公园旁  三盛都会城 套一 直接拎包入住,950,43平方米,简单装修,普通住宅,三盛都会城>龙泉驿>龙泉驿周边,三盛都会城,龙泉驿,龙泉驿周边
精装套一 小区物业费低 家具家电齐全 直达天府三街公交,1600,70平方米,精装修,普通住宅,龙祥佳苑>高新区>中和,龙祥佳苑,高新区,中和
万和小区东站旁，装修可以拎包入住 ，安置小区没有物管费,1000,50平方米,精装修,普通住宅,万和小区>新都>新都新城区,万和小区,新都,新都新城区
锦华万达 东湖国际 地铁口 47精装套一 户型好 采光巴适,2500,47平方米,精装修,普通住宅,东湖国际>锦江>成仁路,东湖国际,锦江,成仁路
押一付一无中介 天府五街软件园  整租大标间 独立厨卫拎包住,1650,50平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
好房出租 配置齐全 半年付1300 季度付1400,1300,57平方米,简单装修,普通住宅,锦丽华庭>双流>航空港,锦丽华庭,双流,航空港
特价！精装套一  0中介 可月付 可短租 2号线火车东站,2050,52平方米,精装修,普通住宅,新里柏仕公馆>成华>火车东站,新里柏仕公馆,成华,火车东站
龙湖西宸购物天街旁 TOD之上 楼下就是新金牛公园 配套成熟,2800,48平方米,精装修,公寓,首开龙湖紫宸(商住楼)>金牛>九里堤,首开龙湖紫宸(商住楼),金牛,九里堤
无中介可月付 春熙路 前锋路 赫本 金牛万达 红星桥 339,2080,55平方米,精装修,公寓,银海中心>金牛>梁家巷,银海中心,金牛,梁家巷
可短租 可月付 海昌路地铁 套一整租 独立厨卫 交通方便,1199,45平方米,精装修,普通住宅,佳兆业君汇上品>天府新区>南湖,佳兆业君汇上品,天府新区,南湖
西宸天街旁 地铁七号线之上 奢享蓉城夜景 纵观国宾繁华,2800,48平方米,精装修,公寓,首开龙湖紫宸(商住楼)>金牛>九里堤,首开龙湖紫宸(商住楼),金牛,九里堤
海滨标准套一全齐出租 拎包入住,1000,50平方米,简单装修,普通住宅,世纪花园>双流>蛟龙港,世纪花园,双流,蛟龙港
无中介 牛市口 牛王庙 摩根中心 东门大桥 精装修 拎包入住,1200,15平方米,精装修,普通住宅,牛市口路14号院>锦江>牛市口,牛市口路14号院,锦江,牛市口
无物管费  黎明新村二三期 套一  直接拎包入住 诚心出租,1100,50平方米,简单装修,普通住宅,黎明新村>龙泉驿>龙泉驿周边,黎明新村,龙泉驿,龙泉驿周边
可押一付一  无中芥费 地铁3号线 双流万达 奥特莱斯海滨城,1599,60平方米,精装修,普通住宅,金恒德汽配城>双流>东升镇,金恒德汽配城,双流,东升镇
龙泉驿地铁口附近 龙泉印象 套一 家具家电齐全 1200月,1200,57平方米,简单装修,普通住宅,龙泉印象>龙泉驿>总站片区,龙泉印象,龙泉驿,总站片区
押一付一直租 双流万达 奥特莱斯 地铁3号线航都大街龙桥路旁,1099,32平方米,精装修,公寓,金恒德汽配城>双流>东升镇,金恒德汽配城,双流,东升镇
可短租 押一付一 民乐地铁口 天府五街 欧尚 独立厨卫,1250,40平方米,精装修,普通住宅,河池新居>双流>华府,河池新居,双流,华府
天街购物中心旁 电梯高端小区套一 还带个小书房 拎包入住,1500,48平方米,简单装修,普通住宅,西郡香林>武侯>五大花园,西郡香林,武侯,五大花园
短租到过年 两江国际 香悦城 环球中心旁近金融城一号线世纪城,1900,43平方米,精装修,公寓,两江国际>高新区>世纪城,两江国际,高新区,世纪城
美程广场旁  天泉酒店   中装套一   周边配套齐全,700,57平方米,精装修,普通住宅,凤凰湖天泉住宅小区>青白江>文体中心,凤凰湖天泉住宅小区,青白江,文体中心
世豪广场 大源 环球中心 中央公园 银泰城 大源国际中心,1700,50平方米,精装修,普通住宅,清凤时代城>高新区>大源,清凤时代城,高新区,大源
天府五街地铁口 天府三街 华府大道   电梯 精装修 包物业,1600,47平方米,精装修,普通住宅,嘉年华御府>高新区>中和,嘉年华御府,高新区,中和
可月付 百草路地铁口  0中介  整租晨风社区   科技园旁,750,26平方米,精装修,普通住宅,晨风社区>高新西区>百草路,晨风社区,高新西区,百草路
天府二街三街新小区欢乐颂套一干湿分明清新风格 地铁旁出行方便,1900,48平方米,精装修,普通住宅,大源欢乐颂>高新区>大源,大源欢乐颂,高新区,大源
可押一付一无中介 双流万达 奥特莱斯 地铁3号线龙桥路站,999,30平方米,精装修,普通住宅,金恒德汽配城>双流>东升镇,金恒德汽配城,双流,东升镇
杨柳河地铁口 温馨套一 干净整洁 家具家电齐全 随时看房,1450,50平方米,精装修,普通住宅,银滩>温江>温江城区,银滩,温江,温江城区
龙湖紫宸天街 精装公寓 拎包住 茶店子地铁 有钥匙 价格可议,2100,37平方米,精装修,公寓,首开龙湖紫宸星座>金牛>交大路,首开龙湖紫宸星座,金牛,交大路
无中介可月付 成都东站 塔子山公园 四川师大 大观地铁口,1500,58平方米,精装修,普通住宅,兴城嘉苑一期B区>成华>火车东站,兴城嘉苑一期B区,成华,火车东站
财富中心 1室0厅1卫 1600元月 电梯房 30平,1600,30平方米,简单装修,普通住宅,财富中心>锦江>盐市口,财富中心,锦江,盐市口
一号线华府大道地铁口 天府五街 套一 天府软件园 无中介月付,2199,58平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
直租无中芥费 可押一付一 地铁3号线旁 双流万达海滨城附近,1599,60平方米,精装修,公寓,金恒德汽配城>双流>东升镇,金恒德汽配城,双流,东升镇
可押一付一 双流万达奥特莱斯旁 地铁3号线龙桥路站直达春熙路,1299,50平方米,精装修,普通住宅,金恒德汽配城>双流>东升镇,金恒德汽配城,双流,东升镇
英郡一期 标准套一 带花园 诚心出租 领包入住 天府三街旁边,2800,53平方米,精装修,普通住宅,英郡(一期)>高新区>世纪城,英郡(一期),高新区,世纪城
跃层 两江国际 香悦城 汇锦城 哥谭 环球 近金融城一号线,3200,75平方米,精装修,公寓,两江国际>高新区>世纪城,两江国际,高新区,世纪城
好房实拍 牛王庙 未来中心 精装套一 温馨舒适 拎包入住,2600,50平方米,精装修,普通住宅,蓉上坊(一期)>锦江>牛王庙,蓉上坊(一期),锦江,牛王庙
叠翠峰精装套一苏宁广场旁~桐梓林火车南站凯德天府~富森美家具,2400,49平方米,精装修,普通住宅,叠翠峰(商住楼)>武侯>火车南站,叠翠峰(商住楼),武侯,火车南站
可押一付一 地铁3号线400米直达春熙路 昭觉寺动物园旁,1599,45平方米,精装修,公寓,金科中心>成华>动物园,金科中心,成华,动物园
距离地铁50米龙泉印象,1000,57平方米,精装修,普通住宅,龙泉印象>龙泉驿>总站片区,龙泉印象,龙泉驿,总站片区
高新区 天府五街 地铁口 嘉年华 跃层套一 实拍图片拎包入住,1800,60平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
可押一付一 地铁2号线天河路站 西南交大附近 拎包入住,1099,42平方米,精装修,公寓,傲城>郫都>犀浦,傲城,郫都,犀浦
无中介可月付 跃层套一 天府三街天府五街世纪城中和 一号线,2000,100平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
精装修 地铁口电梯房 采光好户型方正 府河星城难得好房子,1300,50平方米,精装修,普通住宅,府河星城馨苑>金牛>欢乐谷,府河星城馨苑,金牛,欢乐谷
无中介 软件园 蓝润 华府大道 天府五街 银泰城 箐蓉汇,2000,64平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
天府三街精装套一 月付0中介 保利星座 世豪广场 大源地铁站,2000,42平方米,精装修,普通住宅,仁美大源印象>高新区>大源,仁美大源印象,高新区,大源
整租财富中心 1室1厅 东南,2500,51平方米,精装修,普通住宅,财富中心>锦江>盐市口,财富中心,锦江,盐市口
欧洲中心 天府大道 软件园 世纪城附近嘉年华青年城 套一标间,1650,30平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
近中医大省医院抚琴地铁口永陵公园小区房源设施配套齐全独门独户,800,32平方米,简单装修,公寓,抚琴北巷2号院>金牛>花牌坊,抚琴北巷2号院,金牛,花牌坊
1房1厅  温暖阳光标间 让你住着心情舒畅 拎包入住哦,1100,50平方米,精装修,普通住宅,中铁十三局新都住宅小区>新都>新都新城区,中铁十三局新都住宅小区,新都,新都新城区
温馨套一未住过人市中心春熙路太古里ifs对面国金豪庭晶融汇,4500,80平方米,豪华装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
1500月 季付 西雅语嫣 茶店子客运站 精装电梯房,1500,50平方米,精装修,普通住宅,西雅语嫣>金牛>茶店子,西雅语嫣,金牛,茶店子
哥谭标间 香悦城 IMC 中环岛 锦城湖岸 精装修 环球中心,1850,45平方米,精装修,公寓,哥谭>高新区>世纪城,哥谭,高新区,世纪城
可短租 可月付 独立厨卫 交通方便 拎包入住,1199,45平方米,精装修,普通住宅,华汇天地>双流>华府,华汇天地,双流,华府
万象城 万年场 可月付无中介 东门大桥 塔子山 成都东站,1770,45平方米,精装修,普通住宅,明信鹭湾>成华>万年场,明信鹭湾,成华,万年场
紧邻花牌坊抚琴地铁口交通方便独门独户家电齐全押一付一拎包入住,800,43平方米,简单装修,公寓,交通巷36号院>金牛>花牌坊,交通巷36号院,金牛,花牌坊
高新嘉年华青年城smart公寓 精装套一直租环境良好干净整洁,2300,89平方米,精装修,普通住宅,嘉年华青年城smart公寓>高新区>美年广场,嘉年华青年城smart公寓,高新区,美年广场
琉璃厂地铁口东方阳光城1楼套一 装修家具家电空调齐全，拎包入,1400,42平方米,精装修,普通住宅,东方阳光城(B区)>锦江>琉璃厂,东方阳光城(B区),锦江,琉璃厂
阳光香榭 精装套一 家具家电齐全 随时看房 房东直签,1200,50平方米,精装修,普通住宅,阳光香榭>龙泉驿>总站片区,阳光香榭,龙泉驿,总站片区
天府广场春熙路地铁口恒大都汇华庭恒大广场时代豪庭晶融汇兰桂坊,3900,70平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
900 马超西路地铁口  永辉对面 全装套一 家具家电齐,900,60平方米,简单装修,普通住宅,八二一小区>新都>新都新城区,八二一小区,新都,新都新城区
1房 舒适温暖标间 可做饭拎包入住 欢迎看房,1000,38平方米,简单装修,普通住宅,旺府豪庭>新都>石油大学,旺府豪庭,新都,石油大学
醉便宜万达橡树林标准精装套一 喜欢的快下手哟,2500,65平方米,精装修,普通住宅,瑞升望江橡树林南院>锦江>万达,瑞升望江橡树林南院,锦江,万达
紧邻东门大桥地铁口近明宇金融广场春熙路小区房源独门独户随时看,600,34平方米,简单装修,公寓,紫东苑>锦江>东大街,紫东苑,锦江,东大街
文殊院地铁口，精装套一出租,1800,50平方米,精装修,普通住宅,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
保利爱尚里 精装套一家具家电齐全 拎包入住 随时看房押一付三,1000,47平方米,精装修,公寓,保利爱尚里>新都>大丰,保利爱尚里,新都,大丰
旺府豪庭精装标间  靠近地铁口  支持押一付一 随时可入住,1150,35平方米,简单装修,普通住宅,旺府豪庭>新都>石油大学,旺府豪庭,新都,石油大学
可月付标间配置齐全  天府四街 五号线民乐站旁边,2200,50平方米,精装修,公寓,保利心语上府>高新区>大源,保利心语上府,高新区,大源
紧邻市二医院春熙路地铁口近太古里华西坝设施配套齐全随时可看房,500,39平方米,简单装修,公寓,红星路四段66号院>锦江>春熙路,红星路四段66号院,锦江,春熙路
年底可短租 随时看房 整租套一 精装修 安保小区,1650,36平方米,简单装修,公寓,金鱼街58号院>金牛>花牌坊,金鱼街58号院,金牛,花牌坊
都汇华庭 东门大桥 临地铁 好烦实拍 精装套一 随时看房,5000,68平方米,精装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
香悦城标间 两江国际 哥谭 世纪城地铁口 近环球中心铁像寺,2000,43平方米,精装修,公寓,两江国际>高新区>世纪城,两江国际,高新区,世纪城
好房子出来了！无转让费！东二环锦江万达楼上美甲工作室 电梯口,1600,42平方米,精装修,普通住宅,万达锦华城(商住楼)>锦江>万达,万达锦华城(商住楼),锦江,万达
玉双路地铁口精装修套一 三楼 1室1厅家具家电齐全拎包入住,1400,44平方米,精装修,普通住宅,双桥路南五街小区>成华>新华公园,双桥路南五街小区,成华,新华公园
顺城街 骡马市 文殊院 精装修70平大套一  拎包住,2600,70平方米,精装修,普通住宅,融城云熙>青羊>顺城街,融城云熙,青羊,顺城街
牛王庙，东门大桥，春熙路，明宇豪雅附近 ，邻地铁，配套齐全,2500,50平方米,精装修,普通住宅,蓉上坊(一期)>锦江>牛王庙,蓉上坊(一期),锦江,牛王庙
无中介 1号线18号线 海昌路地铁口 石化大厦 麓港可月付,650,19平方米,精装修,普通住宅,石化家园>天府新区>华阳,石化家园,天府新区,华阳
六号线地铁口 20米 乐活公社 精装跃层套一 有钥匙随时看,2000,64平方米,精装修,公寓,乐活公社>高新区>中和,乐活公社,高新区,中和
月付无中介特价套一标间环境好公兴镇大市场交通便利超市楼下特价,950,45平方米,精装修,普通住宅,亚丁小镇>双流>公兴,亚丁小镇,双流,公兴
新上！环球中心 复地金融岛豪装套一 招商大魔方 拎包入住,3800,60平方米,豪华装修,公寓,复地金融岛>高新区>金融城,复地金融岛,高新区,金融城
地铁口  一室一厅  配套齐全  带阳台  精装  拎包入住,1100,50平方米,精装修,普通住宅,阳光香榭>龙泉驿>总站片区,阳光香榭,龙泉驿,总站片区
楼下就是杨柳河地铁口 银滩套一 家具家电齐全 随时看房,1300,50平方米,精装修,普通住宅,银滩>温江>温江城区,银滩,温江,温江城区
两江国际 哥谭标间 汇锦城 步行到环球中心 世纪城 天府一街,1600,42平方米,精装修,公寓,两江国际>高新区>世纪城,两江国际,高新区,世纪城
急租精装套一 万科天荟 东郊记忆 理工大学 家具齐全无中介,1800,35平方米,精装修,普通住宅,万科天荟>成华>杉板桥,万科天荟,成华,杉板桥
ifs太古里恒大都汇华庭精致一居恒大广场晶融汇仁恒滨河湾,4000,74平方米,豪华装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
蜀汉路东地铁口 抚琴地铁口 茶店子天街 一品天下 二环路,1400,45平方米,精装修,普通住宅,金鱼街社区>金牛>营门口,金鱼街社区,金牛,营门口
政务中心旁 壹中心 套一,1600,40平方米,精装修,普通住宅,壹中心>龙泉驿>总站片区,壹中心,龙泉驿,总站片区
航空学院旁 黎明新村精装套一 拎包入住 随时看房 手慢无,1100,50平方米,精装修,普通住宅,黎明新村>龙泉驿>龙泉驿周边,黎明新村,龙泉驿,龙泉驿周边
0中介可月付 龙爪堰 武侯立交 高升桥 红牌楼可拎包入住住,700,14平方米,精装修,公寓,银杏苑二期>武侯>机投镇,银杏苑二期,武侯,机投镇
青羊宫 宽窄巷子 百花潭公园 武侯祠 浣花溪 省医院 采光好,2500,68平方米,精装修,普通住宅,78号观邸>青羊>人民公园,78号观邸,青羊,人民公园
丽阳晶舍 精装套一 临近地铁口 万达广场 拎包入住 随时看房,1200,48平方米,精装修,普通住宅,丽阳晶舍>龙泉驿>商业片区,丽阳晶舍,龙泉驿,商业片区
都汇华庭温馨舒适晶融汇IFS春熙路纯住家小区恒大广场时代豪庭,4000,70平方米,豪华装修,普通住宅,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
鹏瑞利旁精装套一 家电齐全 便利生活的新起点 不要错过！,1700,50平方米,精装修,普通住宅,东立光华杏林>青羊>万家湾,东立光华杏林,青羊,万家湾
0中介可月付 龙爪堰 武侯立交 高升桥 红牌楼可拎包入住住,700,14平方米,精装修,公寓,银杏路1号院>金牛>白果林,银杏路1号院,金牛,白果林
可月付无中介亚丁小镇 公兴镇 公兴菜市场 通瑞月光湖 歌德堡,880,51平方米,精装修,普通住宅,哥德堡国际现代城>双流>公兴,哥德堡国际现代城,双流,公兴
月付！临近花照壁地铁口设施全交通方便拎包入住 可短租 可月付,630,14平方米,精装修,平房,金城丽景>金牛>交大路,金城丽景,金牛,交大路
0中介可月付 龙爪堰 武侯立交 高升桥 红牌楼可拎包入住住,600,14平方米,精装修,公寓,潮福苑>武侯>机投镇,潮福苑,武侯,机投镇
东大路地铁口环贸广场 澳龙名城维格精装标准大套一通气无中介,2400,52平方米,精装修,普通住宅,澳龙名城维格>锦江>攀成钢,澳龙名城维格,锦江,攀成钢
天府三街大源锦城南府精装套一水电气三通双采光,3000,70平方米,精装修,普通住宅,锦城南府>高新区>大源,锦城南府,高新区,大源
天府三街 地铁5号线口 世豪广场 天府豪庭 锦城南府保利心语,2000,38平方米,精装修,普通住宅,保利星座>高新区>大源,保利星座,高新区,大源
领馆国际城 齐盛艺境 华府大道 天府五街 银泰城 押一付一,1300,34平方米,精装修,普通住宅,翡翠半岛国际社区>高新区>中和,翡翠半岛国际社区,高新区,中和
可月付靠近西部智谷 草堂立交 京东 武青南路地铁口 拎包入住,600,14平方米,精装修,其他,花样年花好园>武侯>机投镇,花样年花好园,武侯,机投镇
租房找物业 精装套一家具家电齐全 蓉上坊天紫界 上行汇锦,2200,50平方米,精装修,普通住宅,蓉上坊(一期)>锦江>牛王庙,蓉上坊(一期),锦江,牛王庙
1700特价甩精装套一！金牛公园 茶店子客运站 五金机电城！,1700,60平方米,精装修,普通住宅,西雅语嫣>金牛>茶店子,西雅语嫣,金牛,茶店子
城区希缺套一 800月 无物管无停车费 楼下就是商超 生活爽,800,58平方米,简单装修,普通住宅,龙王渡二期>新津>新津城区,龙王渡二期,新津,新津城区
东门大桥 春熙路 太古里 时代一号 邻地铁 配套齐全,2500,33平方米,精装修,普通住宅,流星花园>锦江>东大街,流星花园,锦江,东大街
可月付靠近西部智谷 草堂立交 京东 武青南路地铁口 拎包入住,600,14平方米,精装修,其他,潮福苑>武侯>机投镇,潮福苑,武侯,机投镇
城市理想，精装套一出租，拎包入住，随时看房。,1900,50平方米,精装修,普通住宅,城市理想>锦江>盐市口,城市理想,锦江,盐市口
郭家桥    科华街   四川大学  望江校区,1600,34平方米,简单装修,普通住宅,蓝色加勒比广场>武侯>川大,蓝色加勒比广场,武侯,川大
磨子桥 可月付 可短租 家电齐全 干净整洁 小区安全,650,14平方米,精装修,其他,桂馨苑>武侯>磨子桥,桂馨苑,武侯,磨子桥
龙湖西宸天街 地铁口  精装一居室  随时看房 业主人好,2000,37平方米,精装修,公寓,首开龙湖紫宸星座>金牛>交大路,首开龙湖紫宸星座,金牛,交大路
龙湖梵悦台，对中庭，地铁口，公园旁,2600,48平方米,精装修,普通住宅,龙湖梵城>成华>崔家店,龙湖梵城,成华,崔家店
精装套一出租 家具家电齐全，房东急租 电梯房近地铁公交！！,1000,50.6平方米,精装修,普通住宅,红湖公园城>新都>大丰,红湖公园城,新都,大丰
琉璃厂 (月付)(可短租)拎包入住(交通方便）（家电全),600,14平方米,精装修,平房,彩蝶花园>锦江>成仁路,彩蝶花园,锦江,成仁路
一环 整租套一 无中介F 可月付 南极星公寓 交通便利,1300,32平方米,精装修,公寓,南极星公寓>金牛>营门口,南极星公寓,金牛,营门口
无中介  市二医院地铁 太升南路地铁 春熙路 太古里整租套一,1600,40平方米,简单装修,普通住宅,慈惠堂街32号院>锦江>春熙路,慈惠堂街32号院,锦江,春熙路
晶融汇 新南门 银唐国际 龙王庙小学 带阳台 榻榻米配套齐全,2400,48平方米,精装修,普通住宅,银唐国际寓所>锦江>合江亭,银唐国际寓所,锦江,合江亭
